RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.8605195107,41.2503227263,-0.231001,0.228001,23.951,-0.491085382123,-0.127720287228,-1.03214884883,0.583149062454,0.0259943730511
10.8417494823,41.2414381757,-0.58,0.154999,23.893,-0.844633154625,-0.206943532049,-1.10034840234,0.593348051387,0.0199606971433
10.8420267852,41.2604237846,-0.539,-0.00500107,23.845,-0.656377320244,-0.165540160664,-0.818179526889,0.263178840243,0.0239036026698
10.8400791138,41.2653305856,-1.197,0.582001,23.899,-2.32305986162,-0.958125295444,-3.02579659915,2.52479676699,nan
10.8388394422,41.2681237177,-0.194,0.414999,23.792,-0.611082702617,-0.155450094222,-1.54316264606,0.935162462952,0.0243674008591
10.8388290809,41.2681472072,-0.229,0.442999,23.848,-0.677310816421,-0.170161522343,-1.55718142471,1.00518099746,0.0235624144069
10.7737184719,41.2661917435,-0.0739994,0.952999,17.727,-0.93745621644,-0.227961994954,-8.60900253674,1.93600181958,nan
10.803124451,41.2737581135,-1.202,0.757,18.954,-2.62366455294,-1.31703209488,-8.63358896337,3.18758943639,nan
10.7740241449,41.2662336403,-0.0229988,0.795,18.484,-0.738488716919,-0.183584774231,-7.52023820756,1.60423745988,nan
10.8147229308,41.2591211592,-1.39,1.251,21.093,-2.62338914383,-1.31665548109,-6.07244319077,2.76544360276,nan
10.8041858528,41.2883989142,-0.549,0.400999,19.837,-1.0238839544,-0.248506183021,-5.62776281539,1.06476270858,nan
10.8089992381,41.2822017665,-0.764,2.124,22.361,-2.61796032772,-1.30925061487,-6.19586179715,4.15686185819,nan
10.8214750173,41.2524221002,-0.74,0.0499992,20.698,-0.944409069972,-0.229574019219,-4.16031685935,0.458316813573,nan
10.8117127033,41.2686708976,-1.295,0.0410004,20.934,-1.67250184132,-0.475313707028,-4.31241649825,0.846416513506,nan
10.8238424102,41.2704965467,-0.209,1.577,23.097,-1.73215337325,-0.50623751298,-4.71814279151,3.41514291359,nan
10.8040823713,41.2547626516,-0.716002,0.285,21.575,-1.12492356716,-0.274288167144,-3.74186483469,0.916865597632,nan
10.8206207342,41.2661171926,-0.530001,0.434,21.839,-1.03013493151,-0.250040095426,-3.68237652873,1.12137723063,nan
